,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
26,Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,1
27,Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,1
28,Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,0
29,Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,1
30,Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,1.0,Urban,0
31,Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,0
32,Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,0
33,Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,1
34,Male,No,3+,Graduate,No,10171.25,3000.0,261.5,360.0,1.0,Rural,0
35,Male,Yes,0,Graduate,No,2275.0,2067.0,146.41216216216216,360.0,1.0,Urban,1
36,Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,360.0,0.0,Urban,0
37,Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,1
38,Male,No,0,Graduate,No,4166.0,5743.125,184.0,360.0,1.0,Urban,1
39,Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,1
40,Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,0
41,Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,1
42,Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,1.0,Urban,1
43,Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,1
44,Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,360.0,1.0,Urban,1
45,Female,No,0,Graduate,No,3410.0,0.0,88.0,360.0,1.0,Urban,1
46,Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,1
47,Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1.0,Urban,1
48,Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0.0,Urban,0
49,Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1.0,Semiurban,1
50,Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,1
51,Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,1
52,Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,0
53,Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1.0,Urban,0
54,Female,Yes,1,Graduate,Yes,10171.25,0.0,261.5,360.0,0.0,Urban,0
55,Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1.0,Semiurban,1
56,Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1.0,Semiurban,1
57,Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,0
58,Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,1
59,Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,1
60,Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1.0,Urban,1
61,Male,Yes,3+,Graduate,No,3029.0,0.0,99.0,360.0,1.0,Urban,1
62,Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,0
63,Male,Yes,1,Graduate,No,4945.0,0.0,146.41216216216216,360.0,0.0,Rural,0
64,Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,0
65,Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,0
66,Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0.0,Urban,0
67,Male,Yes,1,Graduate,No,10171.25,0.0,261.5,360.0,1.0,Urban,1
68,Male,Yes,3+,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,1
69,Female,No,0,Graduate,No,4300.0,0.0,136.0,360.0,0.0,Semiurban,0
70,Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,1
71,Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,1
72,Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1.0,Semiurban,1
73,Male,Yes,3+,Not Graduate,No,4755.0,0.0,95.0,360.0,0.0,Semiurban,0
74,Male,Yes,3+,Graduate,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,1
75,Male,No,0,Graduate,No,3750.0,0.0,113.0,480.0,1.0,Urban,0
76,Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,0
77,Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,0
78,Male,Yes,3+,Graduate,No,3167.0,4000.0,180.0,300.0,0.0,Semiurban,0
79,Male,Yes,3+,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,1.0,Semiurban,1
80,Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1.0,Semiurban,1
81,Male,Yes,1,Graduate,Yes,2395.0,0.0,146.41216216216216,360.0,1.0,Semiurban,1
82,Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,0
83,Male,Yes,0,Graduate,No,6000.0,2250.0,261.5,360.0,1.0,Semiurban,0
84,Male,Yes,1,Graduate,No,3988.0,0.0,50.0,240.0,1.0,Urban,1
85,Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,1
86,Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,1.0,Semiurban,1
87,Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,1
88,Male,No,0,Graduate,No,8566.0,0.0,210.0,360.0,1.0,Urban,1
89,Male,Yes,0,Graduate,No,5695.0,4167.0,175.0,360.0,1.0,Semiurban,1
90,Male,Yes,0,Graduate,No,2958.0,2900.0,131.0,360.0,1.0,Semiurban,1
91,Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,1
92,Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1.0,Urban,1
93,Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,1
94,Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1.0,Semiurban,1
95,Male,No,0,Graduate,No,6782.0,0.0,146.41216216216216,360.0,1.0,Urban,0
96,Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1.0,Semiurban,1
97,Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,1
98,Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,1
99,Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,Semiurban,1
100,Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1.0,Urban,1
101,Male,No,0,Graduate,No,4843.0,3806.0,151.0,360.0,1.0,Semiurban,1
102,Male,Yes,0,Graduate,No,10171.25,0.0,146.41216216216216,360.0,1.0,Urban,1
103,Male,Yes,0,Graduate,No,4652.0,3583.0,146.41216216216216,360.0,1.0,Semiurban,1
104,Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1.0,Urban,1
105,Male,Yes,1,Graduate,No,3052.0,1030.0,100.0,360.0,1.0,Urban,1
106,Male,Yes,2,Graduate,No,10171.25,1126.0,225.0,360.0,1.0,Urban,1
107,Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1.0,Rural,0
108,Male,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0.0,Urban,0
109,Male,Yes,3+,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,1
110,Male,No,0,Graduate,No,5316.0,0.0,136.0,360.0,1.0,Urban,1
111,Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1.0,Semiurban,1
112,Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,360.0,0.0,Rural,0
113,Female,No,1,Graduate,Yes,7451.0,0.0,146.41216216216216,360.0,1.0,Semiurban,1
114,Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,1
115,Male,Yes,1,Graduate,No,10171.25,0.0,185.0,180.0,1.0,Rural,1
116,Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,1
117,Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,1.0,Urban,1
118,Male,Yes,0,Graduate,No,5568.0,2142.0,175.0,360.0,1.0,Rural,0
119,Female,No,0,Graduate,No,10171.25,0.0,259.0,360.0,1.0,Urban,1
120,Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1.0,Rural,1
121,Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1.0,Semiurban,1
122,Female,No,0,Graduate,No,2137.0,5743.125,137.0,360.0,0.0,Semiurban,1
123,Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,1
124,Male,Yes,0,Not Graduate,No,4300.0,2014.0,194.0,360.0,1.0,Rural,1
125,Female,No,0,Graduate,No,3692.0,0.0,93.0,360.0,1.0,Rural,1
126,Male,Yes,3+,Graduate,No,10171.25,0.0,261.5,360.0,1.0,Rural,1
127,Male,No,0,Graduate,No,3865.0,1640.0,146.41216216216216,360.0,1.0,Rural,1
128,Male,Yes,1,Graduate,Yes,10171.25,3850.0,160.0,180.0,0.0,Urban,0
129,Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,1.0,Rural,0
130,Male,No,0,Graduate,Yes,10171.25,0.0,261.5,480.0,1.0,Urban,1
131,Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1.0,Urban,1
132,Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1.0,Semiurban,1
133,Male,Yes,0,Graduate,Yes,3459.0,0.0,25.0,120.0,1.0,Semiurban,1
134,Male,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1.0,Semiurban,1
135,Male,Yes,3+,Graduate,No,4000.0,5743.125,261.5,360.0,1.0,Semiurban,0
136,Female,Yes,0,Graduate,No,4583.0,0.0,84.0,360.0,1.0,Rural,0
137,Male,Yes,2,Graduate,Yes,3316.0,3500.0,88.0,360.0,1.0,Urban,1
138,Male,No,0,Graduate,No,10171.25,0.0,242.0,360.0,0.0,Semiurban,0
139,Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1.0,Rural,0
140,Male,Yes,2,Graduate,No,5042.0,2083.0,185.0,360.0,1.0,Rural,0
141,Male,No,0,Graduate,No,5417.0,0.0,168.0,360.0,1.0,Urban,1
142,Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1.0,Semiurban,1
143,Male,Yes,0,Graduate,No,2698.0,2034.0,122.0,360.0,1.0,Semiurban,1
144,Male,Yes,2,Graduate,No,10171.25,0.0,187.0,180.0,1.0,Urban,1
145,Female,Yes,0,Graduate,No,2330.0,4486.0,100.0,360.0,1.0,Semiurban,1
146,Female,Yes,2,Graduate,No,10171.25,0.0,70.0,360.0,1.0,Urban,1
147,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1.0,Urban,1
148,Female,No,0,Graduate,No,10000.0,1666.0,225.0,360.0,1.0,Rural,0
149,Male,Yes,0,Graduate,No,4860.0,830.0,125.0,360.0,1.0,Semiurban,1
150,Male,No,0,Graduate,No,6277.0,0.0,118.0,360.0,0.0,Rural,0
151,Male,Yes,0,Graduate,Yes,2577.0,3750.0,152.0,360.0,1.0,Rural,1
152,Male,No,0,Graduate,No,9166.0,0.0,244.0,360.0,1.0,Urban,0
153,Male,Yes,2,Not Graduate,No,2281.0,0.0,113.0,360.0,1.0,Rural,0
154,Male,No,0,Graduate,No,3254.0,0.0,50.0,360.0,1.0,Urban,1
155,Male,Yes,3+,Graduate,No,10171.25,0.0,261.5,180.0,0.0,Semiurban,1
156,Male,Yes,1,Graduate,No,6000.0,0.0,160.0,360.0,1.0,Rural,1
157,Male,Yes,1,Graduate,No,9538.0,0.0,187.0,360.0,1.0,Urban,1
158,Male,No,0,Graduate,No,2980.0,2083.0,120.0,360.0,1.0,Rural,1
159,Male,Yes,0,Graduate,No,4583.0,5625.0,255.0,360.0,1.0,Semiurban,1
160,Male,Yes,0,Not Graduate,No,1863.0,1041.0,98.0,360.0,1.0,Semiurban,1
161,Male,Yes,0,Graduate,No,7933.0,0.0,261.5,360.0,1.0,Urban,0
162,Male,Yes,1,Graduate,No,3089.0,1280.0,121.0,360.0,0.0,Semiurban,0
163,Male,Yes,2,Graduate,No,4167.0,1447.0,158.0,360.0,1.0,Rural,1
164,Male,Yes,0,Graduate,No,9323.0,0.0,75.0,180.0,1.0,Urban,1
165,Male,Yes,0,Graduate,No,3707.0,3166.0,182.0,360.0,1.0,Rural,1
166,Female,Yes,0,Graduate,No,4583.0,0.0,112.0,360.0,1.0,Rural,0
167,Male,Yes,0,Graduate,No,2439.0,3333.0,129.0,360.0,1.0,Rural,1
168,Male,No,0,Graduate,No,2237.0,0.0,63.0,480.0,0.0,Semiurban,0
169,Male,Yes,2,Graduate,No,8000.0,0.0,200.0,360.0,1.0,Semiurban,1
170,Male,Yes,0,Not Graduate,No,1820.0,1769.0,95.0,360.0,1.0,Rural,1
171,Male,Yes,3+,Graduate,No,10171.25,0.0,261.5,300.0,1.0,Urban,1
172,Male,Yes,3+,Not Graduate,No,3522.0,0.0,81.0,180.0,1.0,Rural,0
173,Male,Yes,0,Graduate,No,5708.0,5625.0,187.0,360.0,1.0,Semiurban,1
174,Male,Yes,0,Not Graduate,Yes,4344.0,736.0,87.0,360.0,1.0,Semiurban,0
175,Male,Yes,0,Graduate,No,3497.0,1964.0,116.0,360.0,1.0,Rural,1
176,Male,Yes,2,Graduate,No,2045.0,1619.0,101.0,360.0,1.0,Rural,1
177,Male,Yes,3+,Graduate,No,5516.0,5743.125,261.5,360.0,0.0,Semiurban,0
178,Male,Yes,1,Graduate,No,3750.0,0.0,116.0,360.0,1.0,Semiurban,1
179,Male,No,0,Not Graduate,No,2333.0,1451.0,102.0,480.0,0.0,Urban,0
180,Male,Yes,1,Graduate,No,6400.0,5743.125,180.0,360.0,0.0,Urban,0
181,Male,No,0,Graduate,No,1916.0,5063.0,67.0,360.0,1.0,Rural,0
182,Male,Yes,0,Graduate,No,4600.0,0.0,73.0,180.0,1.0,Semiurban,1
183,Male,Yes,1,Graduate,No,10171.25,0.0,260.0,360.0,1.0,Semiurban,0
184,Female,Yes,0,Graduate,No,3625.0,0.0,108.0,360.0,1.0,Semiurban,1
185,Male,Yes,0,Graduate,Yes,10171.25,4750.0,120.0,360.0,1.0,Semiurban,1
186,Male,Yes,1,Graduate,Yes,2178.0,0.0,66.0,300.0,0.0,Rural,0
187,Male,Yes,0,Graduate,No,2383.0,2138.0,58.0,360.0,1.0,Rural,1
188,Male,Yes,0,Graduate,Yes,674.0,5296.0,168.0,360.0,1.0,Rural,1
189,Male,Yes,0,Graduate,No,9328.0,0.0,188.0,180.0,1.0,Rural,1
190,Male,No,0,Not Graduate,No,4885.0,0.0,48.0,360.0,1.0,Rural,1
191,Male,No,0,Graduate,No,10171.25,0.0,164.0,360.0,1.0,Semiurban,0
192,Male,Yes,0,Not Graduate,No,6033.0,0.0,160.0,360.0,1.0,Urban,0
193,Male,No,0,Graduate,No,3858.0,0.0,76.0,360.0,1.0,Semiurban,1
194,Male,No,0,Graduate,No,4191.0,0.0,120.0,360.0,1.0,Rural,1
195,Male,Yes,1,Graduate,No,3125.0,2583.0,170.0,360.0,1.0,Semiurban,0
196,Male,No,0,Graduate,No,8333.0,3750.0,187.0,360.0,1.0,Rural,1
197,Female,No,0,Not Graduate,No,1907.0,2365.0,120.0,360.0,1.0,Urban,1
198,Female,Yes,0,Graduate,No,3416.0,2816.0,113.0,360.0,1.0,Semiurban,1
199,Male,No,0,Graduate,Yes,10171.25,0.0,83.0,360.0,1.0,Urban,0
200,Male,Yes,1,Not Graduate,No,2600.0,2500.0,90.0,360.0,1.0,Semiurban,1
201,Male,No,2,Graduate,No,4923.0,0.0,166.0,360.0,0.0,Semiurban,1
202,Male,Yes,3+,Not Graduate,No,3992.0,0.0,146.41216216216216,180.0,1.0,Urban,0
203,Male,Yes,1,Not Graduate,No,3500.0,1083.0,135.0,360.0,1.0,Urban,1
204,Male,Yes,2,Not Graduate,No,3917.0,0.0,124.0,360.0,1.0,Semiurban,1
205,Female,No,0,Not Graduate,No,4408.0,0.0,120.0,360.0,1.0,Semiurban,1
206,Female,No,0,Graduate,No,3244.0,0.0,80.0,360.0,1.0,Urban,1
207,Male,No,0,Not Graduate,No,3975.0,2531.0,55.0,360.0,1.0,Rural,1
208,Male,No,0,Graduate,No,2479.0,0.0,59.0,360.0,1.0,Urban,1
209,Male,No,0,Graduate,No,3418.0,0.0,127.0,360.0,1.0,Semiurban,0
210,Female,No,0,Graduate,No,10000.0,0.0,214.0,360.0,1.0,Semiurban,0
211,Male,Yes,3+,Graduate,No,3430.0,1250.0,128.0,360.0,0.0,Semiurban,0
212,Male,Yes,1,Graduate,Yes,7787.0,0.0,240.0,360.0,1.0,Urban,1
213,Male,Yes,3+,Not Graduate,Yes,5703.0,0.0,130.0,360.0,1.0,Rural,1
214,Male,Yes,0,Graduate,No,3173.0,3021.0,137.0,360.0,1.0,Urban,1
215,Male,Yes,3+,Not Graduate,No,3850.0,983.0,100.0,360.0,1.0,Semiurban,1
216,Male,Yes,0,Graduate,No,150.0,1800.0,135.0,360.0,1.0,Rural,0
217,Male,Yes,0,Graduate,No,3727.0,1775.0,131.0,360.0,1.0,Semiurban,1
218,Male,Yes,2,Graduate,No,5000.0,0.0,72.0,360.0,0.0,Semiurban,0
219,Female,Yes,2,Graduate,No,4283.0,2383.0,127.0,360.0,1.0,Semiurban,1
220,Male,Yes,0,Graduate,No,2221.0,0.0,60.0,360.0,0.0,Urban,0
221,Male,Yes,2,Graduate,No,4009.0,1717.0,116.0,360.0,1.0,Semiurban,1
222,Male,No,0,Graduate,No,2971.0,2791.0,144.0,360.0,1.0,Semiurban,1
223,Male,Yes,0,Graduate,No,7578.0,1010.0,175.0,360.0,1.0,Semiurban,1
224,Male,Yes,0,Graduate,No,6250.0,0.0,128.0,360.0,1.0,Semiurban,1
225,Male,Yes,0,Graduate,No,3250.0,0.0,170.0,360.0,1.0,Rural,0
226,Male,Yes,0,Not Graduate,Yes,4735.0,0.0,138.0,360.0,1.0,Urban,0
227,Male,Yes,2,Graduate,No,6250.0,1695.0,210.0,360.0,1.0,Semiurban,1
228,Male,Yes,0,Graduate,No,4758.0,0.0,158.0,480.0,1.0,Semiurban,1
229,Male,No,0,Graduate,Yes,6400.0,0.0,200.0,360.0,1.0,Rural,1
230,Male,Yes,1,Graduate,No,2491.0,2054.0,104.0,360.0,1.0,Semiurban,1
231,Male,Yes,0,Graduate,No,3716.0,0.0,42.0,180.0,1.0,Rural,1
232,Male,No,0,Not Graduate,No,3189.0,2598.0,120.0,360.0,1.0,Rural,1
233,Female,No,0,Graduate,No,8333.0,0.0,261.5,360.0,1.0,Semiurban,1
234,Male,Yes,1,Graduate,No,3155.0,1779.0,140.0,360.0,1.0,Semiurban,1
235,Male,Yes,1,Graduate,No,5500.0,1260.0,170.0,360.0,1.0,Rural,1
236,Male,Yes,0,Graduate,No,5746.0,0.0,255.0,360.0,1.0,Urban,0
237,Female,No,0,Graduate,Yes,3463.0,0.0,122.0,360.0,1.0,Urban,1
238,Female,No,1,Graduate,No,3812.0,0.0,112.0,360.0,1.0,Rural,1
239,Male,Yes,1,Graduate,No,3315.0,0.0,96.0,360.0,1.0,Semiurban,1
240,Male,Yes,2,Graduate,No,5819.0,5000.0,120.0,360.0,1.0,Rural,1
241,Male,Yes,1,Not Graduate,No,2510.0,1983.0,140.0,180.0,1.0,Urban,0
242,Male,No,0,Graduate,No,2965.0,5701.0,155.0,60.0,1.0,Urban,1
243,Male,Yes,2,Graduate,Yes,6250.0,1300.0,108.0,360.0,1.0,Rural,1
244,Male,Yes,0,Not Graduate,No,3406.0,4417.0,123.0,360.0,1.0,Semiurban,1
245,Male,No,0,Graduate,Yes,6050.0,4333.0,120.0,180.0,1.0,Urban,0
246,Male,Yes,2,Graduate,No,9703.0,0.0,112.0,360.0,1.0,Urban,1
247,Male,Yes,1,Not Graduate,No,6608.0,0.0,137.0,180.0,1.0,Urban,1
248,Male,Yes,1,Graduate,No,2882.0,1843.0,123.0,480.0,1.0,Semiurban,1
249,Male,Yes,0,Graduate,No,1809.0,1868.0,90.0,360.0,1.0,Urban,1
250,Male,Yes,0,Not Graduate,No,1668.0,3890.0,201.0,360.0,0.0,Semiurban,0
251,Female,No,2,Graduate,No,3427.0,0.0,138.0,360.0,1.0,Urban,0
252,Male,No,0,Not Graduate,Yes,2583.0,2167.0,104.0,360.0,1.0,Rural,1
253,Male,Yes,1,Not Graduate,No,2661.0,5743.125,261.5,180.0,1.0,Semiurban,1
254,Male,No,0,Graduate,Yes,10171.25,0.0,192.0,360.0,0.0,Urban,0
255,Female,No,3+,Graduate,No,3083.0,0.0,255.0,360.0,1.0,Rural,1
256,Male,No,0,Not Graduate,No,6045.0,0.0,115.0,360.0,0.0,Rural,0
257,Male,Yes,3+,Graduate,No,5250.0,0.0,94.0,360.0,1.0,Urban,0
258,Male,Yes,0,Graduate,No,10171.25,2100.0,261.5,360.0,1.0,Rural,0
259,Male,Yes,3+,Not Graduate,No,4931.0,0.0,128.0,360.0,1.0,Semiurban,0
260,Male,Yes,1,Graduate,No,6083.0,4250.0,261.5,360.0,1.0,Urban,1
261,Male,No,0,Graduate,No,2060.0,2209.0,134.0,360.0,1.0,Semiurban,1
262,Female,No,1,Graduate,No,3481.0,0.0,155.0,36.0,1.0,Semiurban,0
263,Female,No,0,Graduate,No,7200.0,0.0,120.0,360.0,1.0,Rural,1
264,Male,No,0,Graduate,Yes,5166.0,0.0,128.0,360.0,1.0,Semiurban,1
265,Male,No,0,Graduate,No,4095.0,3447.0,151.0,360.0,1.0,Rural,1
266,Male,Yes,2,Graduate,No,4708.0,1387.0,150.0,360.0,1.0,Semiurban,1
267,Male,Yes,3+,Graduate,No,4333.0,1811.0,160.0,360.0,0.0,Urban,1
268,Female,No,0,Graduate,No,3418.0,0.0,135.0,360.0,1.0,Rural,0
269,Female,No,1,Graduate,No,2876.0,1560.0,90.0,360.0,1.0,Urban,1
270,Female,No,0,Graduate,No,3237.0,0.0,30.0,360.0,1.0,Urban,1
271,Male,Yes,0,Graduate,No,10171.25,0.0,136.0,360.0,1.0,Urban,1
272,Male,No,0,Graduate,No,2833.0,1857.0,126.0,360.0,1.0,Rural,1
273,Male,Yes,0,Graduate,No,2620.0,2223.0,150.0,360.0,1.0,Semiurban,1
274,Male,Yes,2,Graduate,No,3900.0,0.0,90.0,360.0,1.0,Semiurban,1
275,Male,Yes,1,Graduate,No,2750.0,1842.0,115.0,360.0,1.0,Semiurban,1
276,Male,Yes,0,Graduate,No,3993.0,3274.0,207.0,360.0,1.0,Semiurban,1
277,Male,Yes,0,Graduate,No,3103.0,1300.0,80.0,360.0,1.0,Urban,1
278,Male,Yes,0,Graduate,No,10171.25,0.0,261.5,360.0,1.0,Semiurban,1
279,Female,Yes,0,Not Graduate,No,4100.0,0.0,124.0,360.0,1.0,Rural,1
280,Male,No,1,Not Graduate,Yes,4053.0,2426.0,158.0,360.0,0.0,Urban,0
281,Male,Yes,0,Graduate,No,3927.0,800.0,112.0,360.0,1.0,Semiurban,1
282,Male,Yes,2,Graduate,No,2301.0,985.7999878,78.0,180.0,1.0,Urban,1
283,Female,No,0,Graduate,No,1811.0,1666.0,54.0,360.0,1.0,Urban,1
284,Male,Yes,0,Graduate,No,10171.25,0.0,146.41216216216216,360.0,1.0,Rural,0
285,Male,No,0,Graduate,No,3158.0,3053.0,89.0,360.0,1.0,Rural,1
286,Female,No,0,Graduate,Yes,2600.0,1717.0,99.0,300.0,1.0,Semiurban,0
287,Male,Yes,0,Graduate,No,3704.0,2000.0,120.0,360.0,1.0,Rural,1
288,Female,No,0,Graduate,No,4124.0,0.0,115.0,360.0,1.0,Semiurban,1
289,Male,No,0,Graduate,No,9508.0,0.0,187.0,360.0,1.0,Rural,1
290,Male,Yes,0,Graduate,No,3075.0,2416.0,139.0,360.0,1.0,Rural,1
291,Male,Yes,2,Graduate,No,4400.0,0.0,127.0,360.0,0.0,Semiurban,0
292,Male,Yes,2,Graduate,No,3153.0,1560.0,134.0,360.0,1.0,Urban,1
293,Female,No,0,Graduate,No,5417.0,0.0,143.0,480.0,0.0,Urban,0
294,Male,Yes,0,Graduate,No,2383.0,3334.0,172.0,360.0,1.0,Semiurban,1
295,Male,Yes,3+,Graduate,No,4416.0,1250.0,110.0,360.0,1.0,Urban,1
296,Male,Yes,1,Graduate,No,6875.0,0.0,200.0,360.0,1.0,Semiurban,1
